Country Name,year,percent_gdp,percent_net_exports,percent_consumption,percent_government,percent_investment,component_sum
Dominican Republic,2001,1,0.033699914695604134,0.4457246436309001,0.37874343663900617,-0.2648394559333864,0.593328539032124
Dominican Republic,2002,1,0.02645272205738682,0.5880724560926214,0.19349255247736244,0.35019696790505406,1.1582146985324249
Dominican Republic,2003,1,-5.590903039997351,1.362217049832628,0.6357491559377898,2.765848661597988,-0.8270881726289456
Dominican Republic,2004,1,-0.21673079173096116,0.7327130030886394,0.24223676182244008,0.12479725569396778,0.8830162288740862
Dominican Republic,2005,1,-0.42984381521791254,0.9269718569459039,0.1049768590964755,0.30318972327288657,0.9052946240973534
Dominican Republic,2006,1,-0.26054701896386756,0.7057925858411517,0.12084125949108591,0.5218487843829922,1.0879356107513622
Dominican Republic,2007,1,-0.16156648778674323,0.5577665987614204,0.13583637484513136,0.42888326397668547,0.9609197497964942
Dominican Republic,2008,1,-0.8875480553312304,1.190966240756698,0.09058275553304813,0.4997201590128289,0.8937210999713446
Dominican Republic,2009,1,1.5658515378698896,4.242590786106143,0.5312380758373686,-4.038552372929197,2.301128026884204
Dominican Republic,2010,1,-0.24688167396662236,0.6185492940833383,0.0643255098103747,0.4588069546450996,0.8948000845721902
Dominican Republic,2011,1,0.4972667107116427,1.0233450127284733,-0.08902470404519928,-0.17102895473418145,1.2605580646607353
Dominican Republic,2012,1,0.2937382039978551,0.5235735287570892,0.2426757714771784,-0.03813754263158391,1.0218499616005388
Dominican Republic,2013,1,0.5675923980336445,0.33880853744714157,0.13425159690704253,-0.11137257953248307,0.9292799528553455
Dominican Republic,2014,1,0.11129751912796303,0.5451297151613341,0.0646346112076846,0.27154721237993673,0.9926090578769184
Dominican Republic,2015,1,-0.32626443708930775,0.6619875068744118,0.10254072925180137,0.5700566129227704,1.0083204119596758
Dominican Republic,2016,1,-0.07917789294593323,0.6427630842627317,0.03011577083857068,0.43014710312354937,1.0238480652789184
Dominican Republic,2017,1,0.43273248476964793,0.6571868754100416,0.017421504618831078,-0.013759087131017306,1.0935817776675034
Dominican Republic,2018,1,-0.11793349707526582,0.5717265470223496,0.038224703571922675,0.4456054863763197,0.9376232398953263
Dominican Republic,2019,1,-0.2392632367214963,0.6356575632673578,0.1143384536582156,0.3976572385274299,0.9083900187315069
Dominican Republic,2020,1,0.44809988334744555,0.34724949683092154,-0.06765425227330425,0.4568251416393039,1.1845202695443668
Dominican Republic,2021,1,-0.016790891087804256,0.385166116507528,5.194318116575487e-4,0.4314103610880249,0.8003050183194061
