"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2016","100","EC dollar","1993","2006","45680000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2016","100","EC dollar","1993","2006","22530000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2016","100","EC dollar","1993","2006","21610000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2016","100","EC dollar","1993","2006","920000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2016","100","EC dollar","1993","2006","23150000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2016","100","EC dollar","1993","2006","29820000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2016","100","EC dollar","1993","2006","65330000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2016","100","EC dollar","1993","2006","106580000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2016","100","EC dollar","1993","2006","291260000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2016","100","EC dollar","1993","2006","784570000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2016","100","EC dollar","1993","2006","377960000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2016","100","EC dollar","1993","2006","406610000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2016","100","EC dollar","1993","2006","296170000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2016","100","EC dollar","1993","2006","171630000",""
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2016","100","EC dollar","1993","2006","124540000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2016","100","EC dollar","1993","2006","623550000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2016","100","EC dollar","1993","2006","231240000",""
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2016","100","EC dollar","1993","2006","392310000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2016","100","EC dollar","1993","2006","228010000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2016","100","EC dollar","1993","2006","316140000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2016","100","EC dollar","1993","2006","161670000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2016","100","EC dollar","1993","2006","86580000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2016","100","EC dollar","1993","2006","67890000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2016","100","EC dollar","1993","2006","9450000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2016","100","EC dollar","1993","2006","2749570000","1"
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2016","100","EC dollar","1993","2006","47000000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2016","100","EC dollar","1993","2006","452050000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","100","EC dollar","1993","2006","3174610000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2015","100","EC dollar","1993","2006","44070000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2015","100","EC dollar","1993","2006","22030000",""
